planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets
2.96967101508883e-05,45.15401648943746,0.015560046599376265,90.0,177.6027709074551,-4.4139062980501586e-32,-118.58926673199247,1.9301130263060345e-05,85.32035613640016,0.007426799731424207,90.0,-37.91964920244177,-3.5311250384401286e-31,-104.8602334917701,2.308249996503591e-05,130.2008530775488,0.00284205781610727,90.0,-54.025629564281886,0.0,-13.8474632588481,1.6830082214214186e-05,264.45025344949255,0.023519362831297002,90.0,-152.50614002467097,0.0,90.97147228597456,1.0,4
4.078110869186058e-05,45.15421622364465,0.01251879714938847,90.0,-171.81844820204842,8.827812596100315e-32,-129.53456140483277,1.9539362367797875e-05,85.32197753391364,0.00818067587992471,90.0,-77.2681051889567,3.531125038440127e-31,-65.05316722847101,2.633196092310728e-05,130.20532578810872,0.005365886958731819,90.0,-107.37450585185714,0.0,39.87872666824101,1.6942138546128452e-05,263.93185185516916,0.029658366506168304,90.0,-138.9462772800322,0.0,76.64306657721356,1.0,4
3.802689326035643e-05,45.15420712946274,0.014489017715660722,90.0,-163.88229144394026,0.0,-137.29272384588563,1.8583831222137458e-05,85.32119336243512,0.008091420622337107,90.0,-89.28060983862589,5.517382872562698e-31,-52.84528079344066,2.6495246849189157e-05,130.20412721356124,0.006217817773906769,90.0,-120.52461504899297,0.0,53.20852016433353,1.3918446648772095e-05,263.58035308314317,0.03478062381067857,90.0,-136.45574041381442,3.5311250384401278e-31,70.82408631361102,1.0,4
2.987603763630546e-05,45.15399387338794,0.013933261079727161,90.0,-170.17213731179856,2.6483437788300947e-31,-131.02832017668513,1.9659518425924984e-05,85.31934884794502,0.0077650660351300735,90.0,-28.654827618628783,-1.7655625192200639e-31,-114.23738676959951,2.5496078249489348e-05,130.20230276460615,0.003141925714548109,90.0,-39.62077786905754,0.0,-28.33549665701495,1.8622850364360567e-05,264.3109958396976,0.022802207580117584,90.0,-169.82194279934623,0.0,102.42415166069225,1.0,4
2.1133969483901632e-05,45.15400046636212,0.016305688996070267,90.0,-169.37190326236842,-1.7655625192200643e-31,-131.56120488754024,1.894577397956496e-05,85.31630547873452,0.008628436238690931,90.0,-63.18052395206212,0.0,-79.39478684310588,2.6428549828361573e-05,130.1976811419249,0.0049993764193349815,90.0,-91.34236786451781,-4.303558640598905e-31,23.67434547392603,1.318758859053907e-05,263.6569826807944,0.033966803144506466,90.0,-124.42208373541636,-7.062250076880252e-31,61.83498428587096,1.0,4
2.1178506607458772e-05,45.15411223127453,0.01635098342525516,90.0,-170.72682798761588,-2.648343778830096e-31,-130.1919668452796,1.8260731491849428e-05,85.31626282980231,0.007718378262610088,90.0,-80.36800703813653,7.945031336490285e-31,-61.90704382538556,2.529650537385638e-05,130.197719112704,0.00559473379816513,90.0,-114.45982415743933,0.0,47.04601273067159,1.22657405361159e-05,263.43795004085007,0.03615342233403709,90.0,-122.79242195071252,0.0,60.55699710437362,1.0,4
2.7121022706347602e-05,45.15411222689677,0.016749104877662808,90.0,173.08868856840184,-1.7655625192200634e-31,-113.95754683338006,1.965048665684632e-05,85.31989241828052,0.007697012353104647,90.0,-80.2185298166695,-1.7655625192200634e-31,-62.03611114060934,2.036666389672692e-05,130.20008366710877,0.004765281700561547,90.0,-112.86586304998283,0.0,45.4033412274716,1.6691449107495235e-05,263.6313694673609,0.023631392825488273,90.0,-114.12818011150607,-5.29668755766019e-31,59.77021564215453,1.0,4
2.3934782375442364e-05,45.15402954409232,0.01631084573689434,90.0,178.60436330586393,-1.8759101766713175e-31,-119.5110666010162,1.942527128608789e-05,85.319181865147,0.0067694897254565465,90.0,-49.77982226045622,0.0,-92.82027702250423,1.986159809194591e-05,130.19931954331005,0.002696858882468128,90.0,-75.09698839179872,0.0,7.3406726132301205,1.717909071454501e-05,263.58488276296146,0.019759471509676413,90.0,-110.39298812780939,0.0,53.73471919442895,1.0,4
2.6638671056138478e-05,45.15407244590497,0.015800749806975285,90.0,172.58126303269307,0.0,-113.56343034246235,1.9350733063910507e-05,85.32020352834267,0.006459999151969484,90.0,-39.10976846456348,-3.5311250384401278e-31,-103.55831933955217,1.9643657568539426e-05,130.20005505350375,0.0018597815318912546,90.0,-60.04481740542789,1.765562519220063e-31,-7.738300869086435,1.5544043796954997e-05,263.2970911303359,0.02246259693207572,90.0,-107.93552609558083,0.0,49.27311534484974,1.0,4
1.913307866890315e-05,45.1538939030552,0.01750535462496157,90.0,-179.2809424292329,-6.731207104526491e-31,-121.4925346369221,2.0339854889775306e-05,85.31696028992756,0.0032031767829278834,90.0,40.763835175502024,3.5311250384401286e-31,176.84801429189812,2.3547463788575622e-05,130.19693670723788,0.0036699760808235372,90.0,103.63207826398424,-1.7655625192200634e-31,-171.21124834382803,1.4441194061002212e-05,263.5698913030825,0.015256039195315077,90.0,-125.89593425334864,-3.531125038440126e-31,71.34813606855295,1.0,4
