planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets
4.537133738729007e-06,45.154267501165435,0.033432116175039175,90.0,-116.54682681621024,-5.29668755766019e-31,175.52286304390196,1.6876358911518618e-05,85.31245022453751,0.056980157158484125,90.0,-76.91946116849056,-3.5311250384401278e-31,-66.75273971652975,1.8010950613696466e-05,130.18579702287087,0.04435676375243539,90.0,-81.23655199394956,-2.648343778830095e-31,12.739651757428996,1.0568444974035965e-05,256.46383573660984,0.07302054948535533,90.0,-92.17329217255032,-2.206953149025079e-31,-16.042305075684467,1.0,4
3.7402280586480976e-06,45.153992855584946,0.03429570993341592,90.0,-114.33341949783836,3.5311250384401286e-31,173.2104982365124,1.657529812387202e-05,85.31287456323513,0.06006903153606707,90.0,-65.98283576612542,1.7655625192200639e-31,-79.06830984620949,1.652162696115605e-05,130.18558883815535,0.04608478223464453,90.0,-69.0268274548316,1.765562519220063e-31,-0.6220157608470852,1.0086847927490467e-05,256.19935952074417,0.08112048568587674,90.0,-80.38459758850742,-8.827812596100313e-32,-24.14107013355757,1.0,4
3.8753466873726865e-06,45.15401002699495,0.034089861267558426,90.0,-114.20964000066245,0.0,173.06851561704707,1.6730253954194744e-05,85.31283321064096,0.06024203572184005,90.0,-66.34821884935556,-5.29668755766019e-31,-78.67007391769027,1.66286968594744e-05,130.18568545662706,0.04617034946214049,90.0,-69.27812250292546,-3.531125038440126e-31,-0.3522005418349769,1.0172265048792633e-05,256.2022411355556,0.08222940586150591,90.0,-80.81983540663285,-2.648343778830095e-31,-23.30861683841829,1.0,4
4.8442269804758895e-06,45.153991937496265,0.03446885978886063,90.0,-111.23960765646407,0.0,169.92701668456192,1.7328040536628044e-05,85.31377759667504,0.0651329808089819,90.0,-65.0689647190131,-7.0622500768802555e-31,-80.33587433849901,1.6216569390730544e-05,130.18701092901767,0.049421906777082414,90.0,-66.87394675244347,-3.531125038440127e-31,-3.1250829704186907,1.107660562534965e-05,256.4434253279551,0.09482251642485712,90.0,-75.54410676302432,1.7655625192200634e-31,-21.910867375887676,1.0,4
4.669962384072581e-06,45.154187064008575,0.0362897308276953,90.0,-111.44035251590554,-3.531125038440127e-31,170.22451168712425,1.628263088564419e-05,85.3139053301482,0.0723438997028254,90.0,-68.86666974138514,3.531125038440126e-31,-76.39315601248032,1.4765805294238087e-05,130.18719258501108,0.05575628918507869,90.0,-70.8082568410276,-3.5311250384401278e-31,0.9268456080740123,9.268996528333494e-06,256.32365771895354,0.10369382600368739,90.0,-77.62108745712314,1.7655625192200634e-31,-21.847621151806752,1.0,4
3.232850580862266e-06,45.154068855833806,0.03173032069251455,90.0,-110.28855113965018,3.531125038440127e-31,168.80547297888566,1.721373028248962e-05,85.31345031051823,0.07878222232097658,90.0,-63.35838874683382,1.765562519220063e-31,-83.03351793989903,1.5913139918537966e-05,130.18617680631684,0.059928135607445525,90.0,-64.80079247650734,0.0,-5.941929188115923,8.886163062668141e-06,256.100959352634,0.11467017695571961,90.0,-74.34349892125205,0.0,-23.86863585550436,1.0,4
3.3273764974243185e-06,45.15373685798843,0.0327582997723006,90.0,-110.91439833322546,3.531125038440127e-31,169.512491188464,1.6591601268285934e-05,85.31384529354997,0.08154226714078917,90.0,-57.44557034975428,3.5311250384401286e-31,-89.97659504801283,1.5000653107502645e-05,130.1864541209092,0.062340872315610564,90.0,-58.77531500422367,0.0,-12.774628328639087,7.882400365857871e-06,256.16260510441487,0.11309071716200568,90.0,-69.21681909713726,1.7655625192200639e-31,-25.91391760625939,1.0,4
3.8842840365272114e-06,45.15404479389159,0.02817200875686821,90.0,-115.76903794337161,-3.531125038440127e-31,174.42807961921878,1.7647192929052083e-05,85.31341388506499,0.07685782256431559,90.0,-63.39085661964463,1.7655625192200643e-31,-82.89481653427347,1.6566209991048916e-05,130.18666888445804,0.058547286514182166,90.0,-64.6721627118682,-5.296687557660192e-31,-6.011274450594689,9.013621977002664e-06,256.2632280171116,0.10786803640843602,90.0,-73.90386632577908,-1.7655625192200639e-31,-23.763173488655617,1.0,4
2.3721941469268765e-06,45.15425452749266,0.032760075342270406,90.0,-122.95828302701457,3.531125038440127e-31,-177.7257466038323,1.5809518733515585e-05,85.31317166052229,0.07398428278381577,90.0,-71.6958399373194,0.0,-73.22280101537058,1.4128198958938325e-05,130.18586242863447,0.057518799427442,90.0,-74.92646845037497,3.531125038440127e-31,5.441712428646656,8.36128969074562e-06,256.4405280186365,0.10391201368653881,90.0,-85.57885999793662,-1.3241718894150474e-31,-13.859121514417046,1.0,4
3.1302928067474632e-06,45.15431248643638,0.028073590382097485,90.0,-120.76273060310658,0.0,179.66772600085287,1.7256751528006112e-05,85.31294795840718,0.06848542939209425,90.0,-71.99560087112835,-5.2966875576601895e-31,-72.67566063332629,1.6127267647031108e-05,130.18685892563948,0.05260882436630811,90.0,-74.50043447942615,0.0,5.131805278874812,9.340592796222939e-06,256.88854008679255,0.08834456449866906,90.0,-83.0078495138583,-1.765562519220063e-31,-13.923836174058376,1.0,4
1.3447193443072047e-05,45.15460579875889,0.021164404331373454,90.0,-108.03775275246319,0.0,166.03130713968932,1.772499563381717e-05,85.31473940016018,0.05876697006530412,90.0,-73.17210716959407,0.0,-70.98011887174253,1.965057736679126e-05,130.19144242731358,0.04519053189768196,90.0,-76.06373063984631,0.0,7.079691431152294,1.172540402655107e-05,257.0582723334242,0.08208480180389169,90.0,-84.66419794646707,-4.4139062980501586e-32,-9.009640647683737,1.0,4
1.2117895318520649e-05,45.154570326711436,0.016190491132667358,90.0,-103.19585540579432,2.6483437788300947e-31,160.85639338424212,1.9114235156609622e-05,85.3140029525362,0.059644250080746926,90.0,-67.21940368234361,3.531125038440127e-31,-77.66366795790726,2.1291595868817182e-05,130.19124230671915,0.04527012489480524,90.0,-69.3355594438132,3.531125038440126e-31,-0.24738556170271153,1.225617263493907e-05,256.9473575736455,0.08262813692076226,90.0,-78.32309834657686,-8.827812596100317e-32,-14.950464411013805,1.0,4
