planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,srad,smass,pmass0,pmass1,pmass2,pmass3,chi2
6.231244558028156e-06,45.1536283330659,0.0244522462537456,90.0,-144.42010421442833,-3.5311250384401278e-31,-156.05381903276577,1.3978245392641492e-05,85.31505178698912,0.025715148265667193,90.0,3.4342638593104726,-1.765562519220063e-31,-148.49023342961553,1.697625982061137e-05,130.18864686210247,0.015643663540300678,90.0,-0.700707896503045,1.489693375591929e-31,-68.77921283307067,3.994464586848418e-05,1039.210144212528,0.6319701696512061,90.0,-116.44279748707645,1.7655625192200639e-31,174.00241250818533,1.0,4,0.0040459089,1.0,6.231244558028156e-06,1.3978245392641492e-05,1.697625982061137e-05,3.994464586848418e-05,63.06165731970584
5.459835711453632e-06,45.15335514617547,0.05142005062158558,90.0,-116.24009250648378,0.0,176.17098605212584,1.166443305705345e-05,85.31371152177297,0.061050386968950175,90.0,-58.35188285565607,-3.5311250384401286e-31,-87.5736237053745,1.6286622133329082e-05,130.2136425103729,0.04729778069571952,90.0,-62.41199260890727,3.5311250384401278e-31,-7.821568095350771,0.0004235386027125093,1925.6767303939655,0.6867996578035561,90.0,-137.29941881265384,0.0,-11.645755974602778,1.0,4,0.0040459089,1.0,5.459835711453632e-06,1.166443305705345e-05,1.6286622133329082e-05,0.0004235386027125093,63.07750375456648
9.530301965975853e-06,45.153529979749806,0.03404549383146899,90.0,-125.05320158362427,-3.531125038440127e-31,-175.43192774796992,1.3545282887432117e-05,85.31695246406838,0.04550592428418464,90.0,-43.63832688512533,-3.5311250384401278e-31,-102.3397651679303,2.0746600244078407e-05,130.1884389592138,0.03288360388751839,90.0,-44.292326625383765,0.0,-26.143607767476873,3.267064450110866e-05,891.9163458170481,0.5568813158098378,90.0,88.33775668404908,-8.827812596100315e-32,43.58914159014029,1.0,4,0.0040459089,1.0,9.530301965975853e-06,1.3545282887432117e-05,2.0746600244078407e-05,3.267064450110866e-05,63.23383890854679
6.852390357142769e-06,45.15425235308777,0.01585268542126232,90.0,-131.90351726934205,0.0,-169.6464106401022,2.1340318421776382e-05,85.31274294985751,0.047370110574987065,90.0,-69.41086494903311,-3.5311250384401278e-31,-74.693290153148,2.0821046216667997e-05,130.18717053425556,0.03523477113862348,90.0,-71.05944802693459,0.0,2.0191754949362286,1.6887765375581167e-05,256.3000560388871,0.07294548671440398,90.0,-80.11473339976484,1.7655625192200639e-31,-25.80341161000965,1.0,4,0.0040459089,1.0,6.852390357142769e-06,2.1340318421776382e-05,2.0821046216667997e-05,1.6887765375581167e-05,63.58089558530159
4.0197286934425786e-06,45.15350677203999,0.03931636774042107,90.0,-126.9865285643087,-3.531125038440127e-31,-173.00853789357816,1.2746174496079864e-05,85.30937533561934,0.029803354894873166,90.0,-47.89790255914219,-3.531125038440127e-31,-96.54926840930553,1.8370211401503557e-05,130.19836324639653,0.02128221258960093,90.0,-54.156421664143735,0.0,-14.956452420523412,0.00032183375071177025,1921.2479610202895,0.6938066889561967,90.0,-127.48394579790617,0.0,-13.665196335394992,1.0,4,0.0040459089,1.0,4.0197286934425786e-06,1.2746174496079864e-05,1.8370211401503557e-05,0.00032183375071177025,63.824687497443456
7.300747885466522e-06,45.15335940406977,0.05036362534916372,90.0,-117.76630568353768,0.0,177.77808585496095,1.1048444695192257e-05,85.3182186458663,0.06886646325067536,90.0,-46.77550198393744,-3.531125038440126e-31,-100.94182936883193,1.571188049353188e-05,130.1865623531832,0.053366651755813205,90.0,-50.58089988328155,-3.531125038440125e-31,-21.115573910002823,0.0001595440490113878,1036.1789273021018,0.5225072304222816,90.0,154.94835384873386,5.29668755766019e-31,-92.8942226098612,1.0,4,0.0040459089,1.0,7.300747885466522e-06,1.1048444695192257e-05,1.571188049353188e-05,0.0001595440490113878,64.07433285278329
7.467699421952643e-06,45.15335644243123,0.05092463893739343,90.0,-117.12912803349509,-5.2966875576601895e-31,177.11424124711047,1.1051277413485599e-05,85.31845495379743,0.07118168846367752,90.0,-47.53824951725328,3.531125038440126e-31,-100.29407100028143,1.5552613578339497e-05,130.18647075788448,0.05528224668669681,90.0,-51.365165575087666,3.5311250384401278e-31,-20.411965160382753,0.00015219345258922853,1036.2942853735944,0.5236796182687703,90.0,151.08680111668045,0.0,-92.20580240344188,1.0,4,0.0040459089,1.0,7.467699421952643e-06,1.1051277413485599e-05,1.5552613578339497e-05,0.00015219345258922853,64.34128575015868
2.7025974445766954e-06,45.153112068691634,0.028921480069684053,90.0,-131.93980774024442,3.5311250384401286e-31,-168.5820082867865,1.290999443455495e-05,85.31316383059148,0.04976693035583228,90.0,-23.27563802216363,-1.765562519220063e-31,-124.177723228815,2.1360353623926472e-05,130.18539908553674,0.033605831641421065,90.0,-22.462751847951978,-3.531125038440126e-31,-48.81959956760537,0.0003969740185433538,999.0845851946,0.49452775453007564,90.0,125.96140342375124,3.531125038440127e-31,-165.99510040961616,1.0,4,0.0040459089,1.0,2.7025974445766954e-06,1.290999443455495e-05,2.1360353623926472e-05,0.0003969740185433538,65.41475822020129
8.929881372853233e-06,45.15309179965071,0.05109824482403615,90.0,-116.46745574538843,-1.7655625192200639e-31,176.3999017618435,1.1567104264335816e-05,85.31990003937209,0.08836160866780067,90.0,-48.01054445104857,0.0,-101.20640578103243,1.1642728536715127e-05,130.18505648889817,0.06942847203089922,90.0,-52.3758119221445,-3.531125038440127e-31,-20.382410858948813,9.268869954545672e-05,518.5056134020072,0.22864985370507887,90.0,37.85204553886947,0.0,-146.44746593586825,1.0,4,0.0040459089,1.0,8.929881372853233e-06,1.1567104264335816e-05,1.1642728536715127e-05,9.268869954545672e-05,65.67605487386628
9.531398866713047e-06,45.154330986399316,0.01547022762301316,90.0,-141.7750549795511,3.531125038440126e-31,-159.59653665311853,2.1576867215059093e-05,85.31389882369925,0.0383974078020831,90.0,-76.24797611483608,0.0,-66.95492949717426,1.942424690176961e-05,130.18724725943417,0.02856066196639067,90.0,-79.64648100350041,1.7655625192200639e-31,11.348587859718476,2.009719047379634e-05,256.38260840357407,0.05938903128214875,90.0,-87.0640357440305,1.7655625192200643e-31,-24.90321843606103,1.0,4,0.0040459089,1.0,9.531398866713047e-06,2.1576867215059093e-05,1.942424690176961e-05,2.009719047379634e-05,65.67655713058295
6.7955395025128115e-06,45.15373901557246,0.02760449569796782,90.0,-143.63648037107268,-3.5311250384401278e-31,-156.56174618557588,1.3753236870875779e-05,85.31510810834601,0.01902458189252305,90.0,3.8636564584441486,-3.089734408635111e-31,-148.15306677973498,1.4950983905686845e-05,130.18905115217098,0.010343814245413512,90.0,-2.4620118659917916,-1.5448672043175555e-31,-66.40972367992414,7.702473154346416e-05,1039.214341341489,0.5872527722874623,90.0,-90.30430413690682,2.7586914362813486e-32,170.0609710019811,1.0,4,0.0040459089,1.0,6.7955395025128115e-06,1.3753236870875779e-05,1.4950983905686845e-05,7.702473154346416e-05,65.71891906136435
3.8350144124655165e-06,45.15383896312946,0.03422681395972843,90.0,-135.50022267772525,3.5311250384401278e-31,-164.42619024957978,1.3634242955569507e-05,85.31187035634508,0.018933134503315723,90.0,-53.77913862103137,0.0,-89.66223139555203,1.5240213676200182e-05,130.18886935243412,0.014329673909742706,90.0,-65.34584902695325,-1.765562519220063e-31,-3.033241797746342,0.0002553310729222387,1364.1314332072209,0.601700541143325,90.0,-68.70373341621867,-3.5311250384401278e-31,179.04192977766058,1.0,4,0.0040459089,1.0,3.8350144124655165e-06,1.3634242955569507e-05,1.5240213676200182e-05,0.0002553310729222387,65.85276860734902
2.914837376072959e-06,45.15318730831284,0.027728164782505102,90.0,-136.59896062499192,-3.531125038440127e-31,-163.8327221275108,1.3044042488032623e-05,85.31300814736075,0.04255432863047126,90.0,-17.080205988090174,-1.765562519220063e-31,-129.7618741863034,2.2148580518324636e-05,130.18554927902454,0.02810942371070056,90.0,-14.459826762138904,-3.531125038440127e-31,-56.36495884306044,0.0004287254486906469,999.1781448817048,0.491357167630893,90.0,129.24825748949434,-7.062250076880257e-31,-166.36694918293435,1.0,4,0.0040459089,1.0,2.914837376072959e-06,1.3044042488032623e-05,2.2148580518324636e-05,0.0004287254486906469,66.06790929060855
