planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,chi2
3.20457538742182e-06,45.15337178729471,0.03423197363106672,90.0,-128.0686308779153,3.531125038440126e-31,-172.23755700462613,1.2848122853928312e-05,85.31192074357028,0.041624415622741454,90.0,-31.016628814982784,3.531125038440126e-31,-115.26907347326346,1.5513315900437936e-06,97.53976072789591,0.06977440739298615,90.0,-175.7155851038755,-1.3241718894150476e-31,136.91494434365308,1.6164006912129756e-05,130.18605050384284,0.02989147716916248,90.0,-37.75474100705053,0.0,-32.68188790939035,1.0,4,68.07258166794703
1.0106429459903721e-05,45.1533189570699,0.03233486954273608,90.0,-137.85938958520902,-3.531125038440126e-31,-162.1225229980143,1.2675403216800899e-05,85.32104151254482,0.03643786378283789,90.0,-8.347820248409402,-2.648343778830095e-31,-137.9278424015616,1.5876091603786803e-06,97.50018360107799,0.07179473827077872,90.0,-142.67180167933898,0.0,-26.97273824690077,1.4607089606795546e-05,130.18877571270187,0.024107530766160894,90.0,-13.230229307581963,2.648343778830094e-31,-57.162060875270654,1.0,4,68.50998065689966
4.901478764336061e-06,45.15371377690765,0.03665880695789691,90.0,-125.87685189856848,-3.531125038440127e-31,-174.38118203865497,1.2869522976468312e-05,85.31280727188637,0.028301052030726484,90.0,-48.413532031945934,0.0,-95.90982834844313,1.3197185127387881e-06,97.52948431135312,0.11166138148123171,90.0,63.58865288117661,-1.7655625192200634e-31,-68.12681595280533,1.6040096072733162e-05,130.187751687451,0.020840202170498652,90.0,-60.86418521074277,3.531125038440127e-31,-8.00622764044003,1.0,4,71.21357382670628
1.828941532083013e-05,45.15377140329034,0.03376010013118665,90.0,-128.9664460593663,3.531125038440126e-31,-171.3271573120857,1.300365780241195e-05,85.31318427470424,0.02118309035573668,90.0,-26.13061201088812,3.531125038440127e-31,-118.1814934464976,1.0000051261320924e-06,98.13061820559479,0.035950003743412985,90.0,-37.20812870622624,-3.5311250384401278e-31,-82.93986324478391,2.454702135383656e-05,130.1895208455525,0.01282741045177607,90.0,-49.14905364669323,0.0,-19.51393490623304,1.0,4,71.59922289202956
2.7051898409114978e-05,45.154571366375556,0.038145349182152975,90.0,-148.56320665381205,-3.531125038440126e-31,-150.41225782835411,1.2211936509223023e-06,65.45505761059003,0.08417079291467518,90.0,-98.80871733497608,-1.765562519220063e-31,-68.8199658352786,1.3751501614280023e-05,85.31839711426183,0.021819799814235256,90.0,-123.62079611979372,3.5311250384401286e-31,-17.10885023499344,1.824057049815332e-05,130.19538571126748,0.021593651144632214,90.0,-134.56609801407362,3.5311250384401286e-31,68.63227739545775,1.0,4,72.52815934438001
1.64083627887331e-05,45.15362663005971,0.04056265779440714,90.0,-129.8237435582773,3.531125038440127e-31,-169.90261803980985,1.2414330859702496e-05,85.31883872097389,0.03313978461901575,90.0,-43.63831541636667,-3.531125038440127e-31,-101.26153833693279,1.000028751442281e-06,104.03429591926765,0.014396476171680987,90.0,33.570312544281556,3.5311250384401286e-31,-65.12889376643254,1.1188397661301488e-05,130.1917578201679,0.02435924892113032,90.0,-54.52992293364553,0.0,-14.80288428244072,1.0,4,73.2225403056456
1.550064741225997e-05,45.15364529719518,0.04456363908857615,90.0,-118.9953554636088,-1.7655625192200639e-31,178.77208908310263,1.1651852103985295e-05,85.31391540092126,0.04326896230221194,90.0,-42.08859937750488,-7.06225007688025e-31,-103.77229622089659,1.030352261681704e-06,98.09845689806676,0.05615880613265108,90.0,-44.57133017801763,1.0593375115320379e-30,-78.95278257929925,2.2277783337509242e-05,130.18825499720293,0.03236307144602393,90.0,-55.416242002781715,0.0,-14.426329183120632,1.0,4,73.50346268936275
7.845964711628733e-06,45.153628251445,0.037778688394808566,90.0,-128.44717159300495,-3.5311250384401278e-31,-171.5744236021332,1.2406336570785524e-05,85.31219264829913,0.0306401829285441,90.0,-32.097654070055825,0.0,-113.05590485136153,1.0000214704099768e-06,111.5649279132259,0.03913563869200718,90.0,87.78776631056176,2.427648463927587e-31,-69.89232316546288,1.6570706438064055e-05,130.1894678850403,0.021543578822229476,90.0,-44.22310653225904,0.0,-25.256495506536922,1.0,4,73.81815046050869
8.226156929406102e-06,45.15357481759969,0.03739133709875668,90.0,-126.19309496359294,-3.531125038440127e-31,-173.99270484904292,1.2850602451834604e-05,85.31817987916315,0.044602772732736586,90.0,-38.44920395283922,3.531125038440127e-31,-107.7390139747515,1.12465869772128e-06,111.44628479194618,0.022536131107814127,90.0,-31.86200269098031,0.0,105.2496805758399,1.0876003860710714e-05,130.1880253225979,0.032819800867082805,90.0,-44.8456542732262,0.0,-25.560118148685184,1.0,4,74.15285401732889
1.0139620850592026e-05,45.15377752887767,0.030683163032258317,90.0,-135.18332929669793,0.0,-165.0568417403922,1.3933006953017394e-05,85.31771246113502,0.022246320928460617,90.0,-33.32565506257041,3.531125038440125e-31,-110.93059670227599,1.0000507194591088e-06,108.37527972770485,0.016754710421229904,90.0,73.64954070304312,0.0,-110.87029433178449,1.1617944732899662e-05,130.18954798261385,0.014402166968996212,90.0,-45.0296834257421,3.5311250384401278e-31,-23.834780549325558,1.0,4,74.95064426075447
