planet_mass0,period0,eccentricity0,inclination0,argument0,longnode0,mean_anomaly0,planet_mass1,period1,eccentricity1,inclination1,argument1,longnode1,mean_anomaly1,planet_mass2,period2,eccentricity2,inclination2,argument2,longnode2,mean_anomaly2,planet_mass3,period3,eccentricity3,inclination3,argument3,longnode3,mean_anomaly3,star_mass,num_planets,srad,smass,pmass0,pmass1,pmass2,pmass3,chi2
6.079680787998003e-06,45.15362507801534,0.027530554130218977,90.0,-139.33489225174654,-3.5311250384401286e-31,-161.01457247923145,1.387153553419227e-05,85.31465495178195,0.025572152171777385,90.0,-13.451998845927166,-8.827812596100315e-32,-131.53849881774698,1.743614359981606e-05,130.1879542652382,0.0158318557358919,90.0,-16.844057081698352,-1.765562519220063e-31,-52.588132171475166,0.0001110150713467405,899.8256206227298,0.47082831882405846,90.0,-76.68519125762263,-1.7655625192200634e-31,129.7979938908438,1.0,4,0.0040459089,1.0,6.079680787998003e-06,1.387153553419227e-05,1.743614359981606e-05,0.0001110150713467405,58.769311124347226
5.354124061311835e-06,45.154078811698255,0.021290967051724192,90.0,-118.8336800857747,0.0,177.25398429592576,1.8930825613586805e-05,85.31235205219643,0.05863767708244102,90.0,-63.29416190125948,1.7655625192200634e-31,-81.98145276973993,2.1669890811329702e-05,130.18844538508804,0.044265709293956144,90.0,-64.80245249654564,0.0,-5.117647101759846,1.1969992303663225e-05,256.6059505772712,0.08516593884802266,90.0,-73.8600489387179,3.5311250384401278e-31,-20.50167530785719,1.0,4,0.0040459089,1.0,5.354124061311835e-06,1.8930825613586805e-05,2.1669890811329702e-05,1.1969992303663225e-05,59.2776784001265
4.981751407312404e-06,45.15411991897611,0.018571478791855372,90.0,-123.60414981187125,0.0,-177.97777713639044,1.9853582850996685e-05,85.31191829898991,0.05307016666691036,90.0,-64.64402284840217,1.7655625192200634e-31,-80.19148830978558,2.217232354501327e-05,130.18769748895235,0.03980342554591407,90.0,-66.1048147184074,3.5311250384401278e-31,-3.4893173840376175,1.3612682021547319e-05,256.50855233958896,0.07843220938935593,90.0,-75.60002031149465,-1.765562519220063e-31,-22.427849961977756,1.0,4,0.0040459089,1.0,4.981751407312404e-06,1.9853582850996685e-05,2.217232354501327e-05,1.3612682021547319e-05,59.560602502480485
5.068355134193339e-06,45.15383152638743,0.028669923486351646,90.0,-142.54559327773347,0.0,-157.5871693254146,1.396820354263293e-05,85.3135359519736,0.012556485673522516,90.0,-13.251843652560584,-8.827812596100317e-32,-130.2835373159121,1.8259215950988532e-05,130.18824511470976,0.005266396019395393,90.0,-18.257591811129526,1.7655625192200639e-31,-50.00493874784528,0.0001616223768741189,898.0058533202903,0.4526444216832784,90.0,-73.11750935845639,-1.7655625192200639e-31,126.67606448548732,1.0,4,0.0040459089,1.0,5.068355134193339e-06,1.396820354263293e-05,1.8259215950988532e-05,0.0001616223768741189,59.754748980321054
5.098641048879757e-06,45.15385426168871,0.028627552845827065,90.0,-142.97721729971047,3.5311250384401278e-31,-157.14471856171662,1.402276180911911e-05,85.31345441456084,0.011085158173930605,90.0,-13.689834913301214,0.0,-129.67913706523865,1.837480015988839e-05,130.1883347104197,0.004090113761295727,90.0,-20.18642263995028,5.29668755766019e-31,-47.94255234117502,0.00016654340004811847,897.8706261688266,0.4506036163676636,90.0,-72.21619712137542,-3.531125038440126e-31,126.36125994151456,1.0,4,0.0040459089,1.0,5.098641048879757e-06,1.402276180911911e-05,1.837480015988839e-05,0.00016654340004811847,60.089951968295196
4.4470201677578115e-06,45.153560746920725,0.03782264891316894,90.0,-127.34187279806544,0.0,-172.74317124290678,1.2638776346914323e-05,85.31425297772124,0.03809514751017616,90.0,-37.7540225919356,0.0,-107.8876182168182,1.6661158504615844e-05,130.1864738155283,0.026268657237838302,90.0,-43.3920236735137,0.0,-26.515489510226693,1.0635380466667282e-06,242.1775286870012,0.23573934283330855,90.0,-130.8102215100825,0.0,-130.9292771288696,1.0,4,0.0040459089,1.0,4.4470201677578115e-06,1.2638776346914323e-05,1.6661158504615844e-05,1.0635380466667282e-06,60.264417567012394
1.6529522843629903e-06,45.15381810293731,0.03499731641600114,90.0,-126.36673625492865,7.062250076880252e-31,-173.97766864522285,1.3053246164730495e-05,85.311071376835,0.02882696365276664,90.0,-50.32603734201914,-3.531125038440127e-31,-93.95720583586699,2.1414440163428616e-05,130.1885871942607,0.020620029530926016,90.0,-54.03894757354118,3.531125038440127e-31,-15.051196272069365,0.00013589683689047049,815.7711903007747,0.4760905698156836,90.0,-94.44035056313412,8.827812596100317e-32,177.47333475238042,1.0,4,0.0040459089,1.0,1.6529522843629903e-06,1.3053246164730495e-05,2.1414440163428616e-05,0.00013589683689047049,60.42936804894456
4.970312933944297e-06,45.15387874186804,0.02890694168079523,90.0,-143.22222951560477,0.0,-156.8651039113789,1.3998963598052442e-05,85.31334467207611,0.009408623202417069,90.0,-12.388957682822378,1.7655625192200639e-31,-130.7982258495815,1.822434865551256e-05,130.18835543764618,0.0027182920309847575,90.0,-20.04134803881475,-1.7655625192200634e-31,-47.94002358304724,0.00017014888099209103,897.7538179761943,0.4482663233281919,90.0,-69.50384194687253,-1.7655625192200639e-31,125.79494958725226,1.0,4,0.0040459089,1.0,4.970312933944297e-06,1.3998963598052442e-05,1.822434865551256e-05,0.00017014888099209103,60.5442513761749
4.09287086570523e-06,45.15359685188352,0.04112313712565464,90.0,-122.53635071403657,-3.531125038440127e-31,-177.63521476450853,1.253324693054703e-05,85.31452201868638,0.0474758646808326,90.0,-47.74308649829701,0.0,-98.14336493464718,1.666731790450396e-05,130.17877264286938,0.03417357475368131,90.0,-52.858765420047064,-3.5311250384401278e-31,-17.253860580712207,5.067692536045566e-07,224.14899327837722,0.22951998656685982,90.0,-141.0409394708204,0.0,-165.36372986429257,1.0,4,0.0040459089,1.0,4.09287086570523e-06,1.253324693054703e-05,1.666731790450396e-05,5.067692536045566e-07,60.5890772394693
3.2324395244314726e-06,45.15367344110069,0.030098514351232425,90.0,-137.89484830643238,0.0,-162.28229753629344,1.370357668920173e-05,85.31193984035548,0.021319342596089717,90.0,-20.935533897610966,-3.531125038440127e-31,-123.49157583285195,2.0957023617431642e-05,130.18459263833284,0.012883582155904884,90.0,-20.860461896075055,-7.062250076880254e-31,-48.215947091341576,7.447551027690329e-05,1673.8859312553457,0.6672736598538598,90.0,156.699651035202,0.0,-30.3146963589109,1.0,4,0.0040459089,1.0,3.2324395244314726e-06,1.370357668920173e-05,2.0957023617431642e-05,7.447551027690329e-05,60.696697812124484
